<CODE>
sl
</CODE>
<TRANSITION>
\s(t o 62 
\s(t r 248 
\s(t u 202 
\s(u l 34 
\s(u m 37 
\s(u n 35 
\s(u p 31 
\s(u r 82 
\s(u s 20 
\s(v \s 309 
\s(v . 13 
\s(v a 38 
\s(v b 38 
\s(v e 147 
\s(v i 80 
\s(v k 13 
\s(v o 56 
\s(v r 16 
\s(v s 40 
\s(v z 12 
\s(v č 10 
\s(v š 11 
\s(w a 22 
\s(w e 326 
\s(w i 66 
\s(w w 10 
\s(z \s 42 
\s(z a 148 
\s(z b 22 
\s(z d 381 
\s(z e 21 
\s(z g 28 
\s(z l 14 
\s(z m 11 
\s(z n 104 
\s(z r 21 
\s(z s 265 
\s(» d 11 
\s(» m 14 
\s(» p 22 
\s(» r 10 
\s(» s 18 
\s(» z 10 
\s(ü b 13 
\s(č e 281 
\s(č l 53 
\s(č r 10 
\s(š e 11 
\s(š k 13 
\s(š p 38 
\s(š t 30 
\s(š v 28 
\s(ž e 16 
\s(ž i 11 
\s(† \s 517 
\s)\s ( 11 
\s)\s 2 10 
\s)\s a 16 
\s)\s d 13 
\s)\s f 14 
\s)\s g 12 
\s)\s i 18 
\s)\s j 96 
\s)\s k 10 
\s)\s m 21 
\s)\s n 15 
\s)\s o 12 
\s)\s p 16 
\s)\s r 13 
\s)\s s 22 
\s)\s t 15 
\s)\s v 14 
\s), \s 126 
\s). \n 10 
\s). \s 44 
\s*\s ( 25 
\s*\s * 18 
\s*\s 1 780 
\s*\s 2 431 
\s*\s 3 104 
\s*\s 4 36 
\s*\s 5 40 
\s*\s 6 40 
\s*\s 7 44 
\s*\s 8 131 
\s*\s 9 39 
\s*\s : 20 
\s*\s ? 16 
\s*\s a 104 
\s*\s b 93 
\s*\s c 36 
\s*\s d 159 
\s*\s e 34 
\s*\s f 46 
\s*\s g 47 
\s*\s h 58 
\s*\s i 37 
\s*\s j 62 
\s*\s k 81 
\s*\s l 62 
\s*\s m 122 
\s*\s n 70 
\s*\s o 83 
\s*\s p 128 
\s*\s r 80 
\s*\s s 437 
\s*\s t 54 
\s*\s u 75 
\s*\s v 66 
\s*\s w 19 
\s*\s z 52 
\s*\s č 15 
\s*\s š 17 
\s*\s ž 17 
\s** \s 20 
\s*1 . 40 
\s*p r 10 
\s+\s 0 22 
\s+\s 1 180 
\s+\s 2 84 
\s+\s 3 83 
\s+\s 4 52 
\s+\s 5 44 
\s+\s 6 15 
\s+\s 7 13 
\s+\s 9 14 
\s+\s c 13 
